from_station_name,dailytrips,tripranks,dist,distranks,duration,durranks,age,ageranks
900 W Harrison,11.1,142.0,0.9,289.0,7.8,294.0,34.0,71.0
Aberdeen St & Jackson Blvd,15.0,86.0,1.4,190.0,10.2,244.0,33.0,101.0
Aberdeen St & Madison St,22.7,57.0,1.3,213.0,9.2,270.0,34.0,72.0
Ada St & Washington Blvd,6.9,239.0,1.4,173.0,8.7,282.0,35.0,51.0
Adler Planetarium,6.4,168.0,2.0,65.0,23.3,6.0,31.0,181.0
Ashland Ave & 13th St,1.6,289.0,1.2,235.0,10.7,229.0,28.0,283.0
Ashland Ave & 21st St,1.1,292.0,1.8,91.0,13.7,125.0,30.0,222.0
Ashland Ave & Armitage Ave,20.3,66.0,1.6,123.0,11.5,196.0,35.0,52.0
Ashland Ave & Augusta Blvd,11.3,116.0,2.4,27.0,14.7,95.0,31.0,182.0
Ashland Ave & Belle Plaine Ave,4.3,241.0,1.3,210.0,9.8,257.0,33.0,102.0
Ashland Ave & Blackhawk St,5.2,248.0,2.7,17.0,15.4,76.0,30.0,223.0
Ashland Ave & Chicago Ave,5.6,179.0,3.4,13.0,16.4,60.0,31.0,183.0
Ashland Ave & Division St,20.4,87.0,1.6,138.0,11.0,216.0,30.0,224.0
Ashland Ave & Grace St,1.6,281.0,0.8,296.0,6.3,300.0,31.0,184.0
Ashland Ave & Grand Ave,4.4,251.0,2.2,39.0,14.8,93.0,36.0,39.0
Ashland Ave & Lake St,5.7,196.0,1.7,116.0,13.6,129.0,34.0,73.0
Ashland Ave & Wellington Ave,7.3,158.0,5.4,6.0,18.4,39.0,33.0,103.0
Ashland Ave & Wrightwood Ave,6.0,173.0,1.5,158.0,12.9,143.0,30.0,225.0
Bissell St & Armitage Ave,13.8,143.0,1.2,232.0,9.8,254.0,29.0,262.0
Blackstone Ave & Hyde Park Blvd,4.7,197.0,7.8,3.0,12.8,148.0,32.0,145.0
Blue Island Ave & 18th St,7.4,169.0,1.6,141.0,11.5,198.0,29.0,263.0
Broadway & Argyle St,4.4,255.0,1.4,171.0,13.9,119.0,32.5,142.0
Broadway & Barry Ave,8.6,144.0,1.7,107.0,12.1,177.0,32.0,146.0
Broadway & Belmont Ave,8.7,190.0,1.2,243.0,10.6,231.0,31.0,185.0
Broadway & Berwyn Ave,6.4,225.0,2.2,42.0,22.5,15.0,34.0,74.0
Broadway & Cornelia Ave,11.2,171.0,1.3,218.0,11.0,217.0,29.0,264.0
Broadway & Sheridan Rd,6.9,202.0,1.5,166.0,11.9,183.0,31.0,186.0
Broadway & Wilson Ave,4.8,247.0,1.1,247.0,9.9,251.0,34.0,75.0
California Ave & 21st St,1.5,273.0,8.0,1.0,25.8,3.0,33.0,104.0
California Ave & Division St,7.2,186.0,2.1,52.0,18.8,38.0,29.0,265.0
California Ave & Francis Pl,4.5,242.0,2.5,23.0,15.2,85.0,33.0,105.0
California Ave & Milwaukee Ave,16.3,92.0,2.7,15.0,17.4,48.0,30.0,226.0
California Ave & North Ave,5.3,236.0,2.1,45.0,15.0,91.0,33.0,106.0
Calumet Ave & 18th St,11.8,160.0,1.8,94.0,16.9,57.0,34.0,76.0
Calumet Ave & 33rd St,4.1,206.0,0.9,291.0,13.6,128.0,25.0,297.0
Calumet Ave & 35th St,0.5,300.0,0.7,300.0,13.4,137.0,44.0,3.0
Campbell Ave & North Ave,4.5,220.0,1.4,185.0,15.2,83.0,32.0,147.0
Canal St & Adams St,35.9,27.0,1.4,181.0,9.8,256.0,37.0,20.0
Canal St & Harrison St,8.5,151.0,1.1,270.0,8.6,283.0,39.0,7.0
Canal St & Jackson Blvd,54.8,9.0,1.3,202.0,10.1,246.0,39.0,8.0
Canal St & Madison St,51.5,18.0,1.2,225.0,9.5,264.0,37.0,21.0
Canal St & Monroe St,28.9,56.0,1.3,209.0,9.8,255.0,35.0,53.0
Cannon Dr & Fullerton Ave,33.2,33.0,2.3,33.0,24.6,5.0,31.0,187.0
Carpenter St & Huron St,8.4,147.0,1.9,74.0,12.1,178.0,36.0,40.0
Cityfront Plaza & N Water St,22.9,72.0,1.3,207.0,14.0,112.0,33.0,107.0
Claremont Ave & Hirsch St,3.7,230.0,1.2,224.0,10.2,245.0,31.0,188.0
Clarendon Ave & Gordon Ter,1.2,284.0,1.5,162.0,10.3,237.0,33.0,108.0
Clarendon Ave & Junior Ter,8.3,175.0,1.2,237.0,11.9,184.0,34.0,77.0
Clarendon Ave & Leland Ave,5.3,185.0,1.8,84.0,20.7,28.0,36.5,38.0
Clark St & Chicago Ave,11.1,177.0,1.1,255.0,11.4,201.0,34.0,78.0
Clark St & Congress Pkwy,27.3,47.0,1.3,214.0,10.0,250.0,38.0,14.0
Clark St & Elm St,38.7,42.0,1.6,129.0,13.9,113.0,30.0,227.0
Clark St & Leland Ave,5.2,250.0,0.9,292.0,7.4,296.0,31.0,189.0
Clark St & Lincoln Ave,26.7,50.0,2.0,58.0,17.4,49.0,33.0,109.0
Clark St & Montrose Ave,7.0,192.0,1.6,134.0,12.8,149.0,32.0,148.0
Clark St & North Ave,43.4,25.0,2.1,55.0,19.8,31.0,31.0,190.0
Clark St & Randolph St,39.1,21.0,0.9,290.0,9.5,265.0,35.0,54.0
Clark St & Schiller St,17.3,133.0,1.7,109.0,13.5,130.0,33.0,110.0
Clark St & Waveland Ave,13.6,102.0,2.1,53.0,17.6,45.0,29.0,266.0
Clark St & Wellington Ave,20.5,77.0,1.6,126.0,13.5,132.0,30.0,228.0
Clark St & Winnemac Ave,8.2,203.0,1.8,98.0,11.6,194.0,33.0,111.0
Clark St & Wrightwood Ave,4.2,205.0,1.6,146.0,11.3,205.0,30.0,229.0
Clifton Ave & Armitage Ave,13.1,136.0,1.8,96.0,13.9,117.0,30.0,230.0
Clifton Ave & Lawrence Ave,4.0,253.0,1.6,140.0,14.3,101.0,35.0,55.0
Clinton St & 18th St,4.5,218.0,1.7,118.0,12.6,158.0,31.0,191.0
Clinton St & Lake St,34.2,30.0,1.2,245.0,8.8,279.0,35.5,50.0
Clinton St & Madison St,44.8,15.0,1.1,253.0,9.1,272.0,34.0,79.0
Clinton St & Roosevelt Rd,12.6,107.0,1.3,199.0,10.8,226.0,33.0,112.0
