from_station_name,gender,trips
900 W Harrison,Female,227
900 W Harrison,Male,887
Aberdeen St & Jackson Blvd,Female,404
Aberdeen St & Jackson Blvd,Male,1301
Aberdeen St & Madison St,Female,460
Aberdeen St & Madison St,Male,2603
Ada St & Washington Blvd,Female,102
Ada St & Washington Blvd,Male,383
Adler Planetarium,Female,37
Adler Planetarium,Male,128
Ashland Ave & 13th St,Female,51
Ashland Ave & 13th St,Male,65
Ashland Ave & 21st St,Female,10
Ashland Ave & 21st St,Male,66
Ashland Ave & Armitage Ave,Female,568
Ashland Ave & Armitage Ave,Male,2244
Ashland Ave & Augusta Blvd,Female,423
Ashland Ave & Augusta Blvd,Male,879
Ashland Ave & Belle Plaine Ave,Female,105
Ashland Ave & Belle Plaine Ave,Male,233
Ashland Ave & Blackhawk St,Female,169
Ashland Ave & Blackhawk St,Male,179
Ashland Ave & Chicago Ave,Female,205
Ashland Ave & Chicago Ave,Male,293
Ashland Ave & Division St,Female,506
Ashland Ave & Division St,Male,1248
Ashland Ave & Grace St,Female,46
Ashland Ave & Grace St,Male,137
Ashland Ave & Grand Ave,Female,37
Ashland Ave & Grand Ave,Male,255
Ashland Ave & Lake St,Female,113
Ashland Ave & Lake St,Male,394
Ashland Ave & Wellington Ave,Female,122
Ashland Ave & Wellington Ave,Male,324
Ashland Ave & Wrightwood Ave,Female,173
Ashland Ave & Wrightwood Ave,Male,401
Bissell St & Armitage Ave,Female,332
Bissell St & Armitage Ave,Male,796
Blackstone Ave & Hyde Park Blvd,Female,74
Blackstone Ave & Hyde Park Blvd,Male,335
Blue Island Ave & 18th St,Female,235
Blue Island Ave & 18th St,Male,482
Broadway & Argyle St,Female,66
Broadway & Argyle St,Male,156
Broadway & Barry Ave,Female,253
Broadway & Barry Ave,Male,751
Broadway & Belmont Ave,Female,166
Broadway & Belmont Ave,Male,434
Broadway & Berwyn Ave,Female,80
Broadway & Berwyn Ave,Male,213
Broadway & Cornelia Ave,Female,144
Broadway & Cornelia Ave,Male,488
Broadway & Sheridan Rd,Female,87
Broadway & Sheridan Rd,Male,296
Broadway & Wilson Ave,Female,48
Broadway & Wilson Ave,Male,312
California Ave & 21st St,Female,12
California Ave & 21st St,Male,49
California Ave & Division St,Female,171
California Ave & Division St,Male,315
California Ave & Francis Pl,Female,99
California Ave & Francis Pl,Male,258
California Ave & Milwaukee Ave,Female,288
California Ave & Milwaukee Ave,Male,1109
California Ave & North Ave,Female,132
