station,hour,type,trips
900 W Harrison,0,fromtrips,0.1
900 W Harrison,0,totrips,0.0
900 W Harrison,1,fromtrips,0.1
900 W Harrison,1,totrips,0.1
900 W Harrison,2,fromtrips,0.0
900 W Harrison,2,totrips,0.0
900 W Harrison,3,fromtrips,0.0
900 W Harrison,3,totrips,0.0
900 W Harrison,4,fromtrips,0.0
900 W Harrison,4,totrips,0.0
900 W Harrison,5,fromtrips,0.0
900 W Harrison,5,totrips,0.0
900 W Harrison,6,fromtrips,0.0
900 W Harrison,6,totrips,0.2
900 W Harrison,7,fromtrips,0.2
900 W Harrison,7,totrips,0.6
900 W Harrison,8,fromtrips,0.3
900 W Harrison,8,totrips,1.5
900 W Harrison,9,fromtrips,0.2
900 W Harrison,9,totrips,0.7
900 W Harrison,10,fromtrips,0.3
900 W Harrison,10,totrips,0.5
900 W Harrison,11,fromtrips,0.6
900 W Harrison,11,totrips,0.5
900 W Harrison,12,fromtrips,0.6
900 W Harrison,12,totrips,0.4
900 W Harrison,13,fromtrips,0.6
900 W Harrison,13,totrips,0.5
900 W Harrison,14,fromtrips,0.7
900 W Harrison,14,totrips,0.4
900 W Harrison,15,fromtrips,0.8
900 W Harrison,15,totrips,0.5
900 W Harrison,16,fromtrips,0.8
900 W Harrison,16,totrips,0.5
900 W Harrison,17,fromtrips,1.2
900 W Harrison,17,totrips,0.6
900 W Harrison,18,fromtrips,0.6
900 W Harrison,18,totrips,0.3
900 W Harrison,19,fromtrips,0.4
900 W Harrison,19,totrips,0.2
900 W Harrison,20,fromtrips,0.3
900 W Harrison,20,totrips,0.1
900 W Harrison,21,fromtrips,0.2
900 W Harrison,21,totrips,0.1
900 W Harrison,22,fromtrips,0.2
900 W Harrison,22,totrips,0.1
900 W Harrison,23,fromtrips,0.2
900 W Harrison,23,totrips,0.1
Aberdeen St & Jackson Blvd,0,fromtrips,0.1
Aberdeen St & Jackson Blvd,0,totrips,0.1
Aberdeen St & Jackson Blvd,1,fromtrips,0.0
Aberdeen St & Jackson Blvd,1,totrips,0.0
Aberdeen St & Jackson Blvd,2,fromtrips,0.0
Aberdeen St & Jackson Blvd,2,totrips,0.0
Aberdeen St & Jackson Blvd,3,fromtrips,0.0
Aberdeen St & Jackson Blvd,3,totrips,0.0
Aberdeen St & Jackson Blvd,4,fromtrips,0.0
Aberdeen St & Jackson Blvd,4,totrips,0.0
Aberdeen St & Jackson Blvd,5,fromtrips,0.3
Aberdeen St & Jackson Blvd,5,totrips,0.0
Aberdeen St & Jackson Blvd,6,fromtrips,0.4
Aberdeen St & Jackson Blvd,6,totrips,0.1
Aberdeen St & Jackson Blvd,7,fromtrips,1.3
Aberdeen St & Jackson Blvd,7,totrips,0.3
Aberdeen St & Jackson Blvd,8,fromtrips,1.4
Aberdeen St & Jackson Blvd,8,totrips,0.5
Aberdeen St & Jackson Blvd,9,fromtrips,0.8
Aberdeen St & Jackson Blvd,9,totrips,0.4
Aberdeen St & Jackson Blvd,10,fromtrips,0.6
Aberdeen St & Jackson Blvd,10,totrips,0.5
Aberdeen St & Jackson Blvd,11,fromtrips,0.8
Aberdeen St & Jackson Blvd,11,totrips,0.6
Aberdeen St & Jackson Blvd,12,fromtrips,1.2
Aberdeen St & Jackson Blvd,12,totrips,1.0
Aberdeen St & Jackson Blvd,13,fromtrips,0.9
Aberdeen St & Jackson Blvd,13,totrips,0.9
Aberdeen St & Jackson Blvd,14,fromtrips,0.8
Aberdeen St & Jackson Blvd,14,totrips,0.9
Aberdeen St & Jackson Blvd,15,fromtrips,0.8
Aberdeen St & Jackson Blvd,15,totrips,1.0
Aberdeen St & Jackson Blvd,16,fromtrips,0.9
Aberdeen St & Jackson Blvd,16,totrips,1.2
Aberdeen St & Jackson Blvd,17,fromtrips,1.3
Aberdeen St & Jackson Blvd,17,totrips,2.4
Aberdeen St & Jackson Blvd,18,fromtrips,0.9
Aberdeen St & Jackson Blvd,18,totrips,1.4
Aberdeen St & Jackson Blvd,19,fromtrips,0.8
Aberdeen St & Jackson Blvd,19,totrips,0.9
Aberdeen St & Jackson Blvd,20,fromtrips,0.5
Aberdeen St & Jackson Blvd,20,totrips,0.5
Aberdeen St & Jackson Blvd,21,fromtrips,0.4
Aberdeen St & Jackson Blvd,21,totrips,0.4
Aberdeen St & Jackson Blvd,22,fromtrips,0.3
Aberdeen St & Jackson Blvd,22,totrips,0.4
Aberdeen St & Jackson Blvd,23,fromtrips,0.1
Aberdeen St & Jackson Blvd,23,totrips,0.1
Aberdeen St & Madison St,0,fromtrips,0.1
Aberdeen St & Madison St,0,totrips,0.2
Aberdeen St & Madison St,1,fromtrips,0.1
Aberdeen St & Madison St,1,totrips,0.1
Aberdeen St & Madison St,2,fromtrips,0.0
Aberdeen St & Madison St,2,totrips,0.1
Aberdeen St & Madison St,3,fromtrips,0.0
Aberdeen St & Madison St,3,totrips,0.0
Aberdeen St & Madison St,4,fromtrips,0.0
Aberdeen St & Madison St,4,totrips,0.0
Aberdeen St & Madison St,5,fromtrips,0.1
Aberdeen St & Madison St,5,totrips,0.1
Aberdeen St & Madison St,6,fromtrips,1.0
Aberdeen St & Madison St,6,totrips,0.4
Aberdeen St & Madison St,7,fromtrips,1.6
Aberdeen St & Madison St,7,totrips,1.5
Aberdeen St & Madison St,8,fromtrips,2.3
Aberdeen St & Madison St,8,totrips,2.7
Aberdeen St & Madison St,9,fromtrips,1.1
Aberdeen St & Madison St,9,totrips,1.2
Aberdeen St & Madison St,10,fromtrips,1.0
Aberdeen St & Madison St,10,totrips,0.8
Aberdeen St & Madison St,11,fromtrips,1.0
Aberdeen St & Madison St,11,totrips,1.0
Aberdeen St & Madison St,12,fromtrips,1.4
Aberdeen St & Madison St,12,totrips,1.3
Aberdeen St & Madison St,13,fromtrips,1.4
Aberdeen St & Madison St,13,totrips,1.1
Aberdeen St & Madison St,14,fromtrips,1.2
Aberdeen St & Madison St,14,totrips,0.9
Aberdeen St & Madison St,15,fromtrips,1.3
Aberdeen St & Madison St,15,totrips,1.4
Aberdeen St & Madison St,16,fromtrips,1.8
Aberdeen St & Madison St,16,totrips,2.2
Aberdeen St & Madison St,17,fromtrips,2.6
Aberdeen St & Madison St,17,totrips,3.7
Aberdeen St & Madison St,18,fromtrips,1.5
Aberdeen St & Madison St,18,totrips,2.1
Aberdeen St & Madison St,19,fromtrips,1.0
Aberdeen St & Madison St,19,totrips,1.2
Aberdeen St & Madison St,20,fromtrips,0.7
Aberdeen St & Madison St,20,totrips,0.8
Aberdeen St & Madison St,21,fromtrips,0.5
Aberdeen St & Madison St,21,totrips,0.6
Aberdeen St & Madison St,22,fromtrips,0.4
Aberdeen St & Madison St,22,totrips,0.5
Aberdeen St & Madison St,23,fromtrips,0.2
Aberdeen St & Madison St,23,totrips,0.3
Ada St & Washington Blvd,0,fromtrips,0.0
