from_station_name,mth,mthlytrips
900 W Harrison,8,285
900 W Harrison,9,489
900 W Harrison,10,437
900 W Harrison,11,276
900 W Harrison,12,129
Aberdeen St & Jackson Blvd,6,28
Aberdeen St & Jackson Blvd,7,564
Aberdeen St & Jackson Blvd,8,613
Aberdeen St & Jackson Blvd,9,552
Aberdeen St & Jackson Blvd,10,508
Aberdeen St & Jackson Blvd,11,319
Aberdeen St & Jackson Blvd,12,190
Aberdeen St & Madison St,6,28
Aberdeen St & Madison St,7,751
Aberdeen St & Madison St,8,935
Aberdeen St & Madison St,9,929
Aberdeen St & Madison St,10,846
Aberdeen St & Madison St,11,440
Aberdeen St & Madison St,12,246
Ada St & Washington Blvd,10,197
Ada St & Washington Blvd,11,213
Ada St & Washington Blvd,12,147
Adler Planetarium,6,6
Adler Planetarium,7,36
Adler Planetarium,8,47
Adler Planetarium,9,9
Adler Planetarium,10,653
Adler Planetarium,11,357
Adler Planetarium,12,73
Ashland Ave & 13th St,9,38
Ashland Ave & 13th St,10,84
Ashland Ave & 13th St,11,38
Ashland Ave & 13th St,12,12
Ashland Ave & 21st St,8,25
Ashland Ave & 21st St,9,63
Ashland Ave & 21st St,10,40
Ashland Ave & 21st St,11,7
Ashland Ave & 21st St,12,8
Ashland Ave & Armitage Ave,6,20
Ashland Ave & Armitage Ave,7,336
Ashland Ave & Armitage Ave,8,844
Ashland Ave & Armitage Ave,9,821
Ashland Ave & Armitage Ave,10,860
Ashland Ave & Armitage Ave,11,549
Ashland Ave & Armitage Ave,12,322
Ashland Ave & Augusta Blvd,6,27
Ashland Ave & Augusta Blvd,7,404
Ashland Ave & Augusta Blvd,8,526
Ashland Ave & Augusta Blvd,9,485
Ashland Ave & Augusta Blvd,10,405
Ashland Ave & Augusta Blvd,11,164
Ashland Ave & Augusta Blvd,12,71
Ashland Ave & Belle Plaine Ave,8,34
Ashland Ave & Belle Plaine Ave,9,227
Ashland Ave & Belle Plaine Ave,10,143
Ashland Ave & Belle Plaine Ave,11,86
