from_station_name,Customer,Subscriber,Female,Male,Total,Age,Duration
900 W Harrison,502,1114,227,887,8.6,34.0,7.8
Aberdeen St & Jackson Blvd,1070,1704,404,1301,14.8,33.0,10.2
Aberdeen St & Madison St,1112,3063,460,2603,22.3,34.0,9.2
Ada St & Washington Blvd,72,485,102,383,3.0,35.0,8.7
Adler Planetarium,1016,165,37,128,6.3,31.0,23.3
Ashland Ave & 13th St,56,116,51,65,0.9,28.0,10.7
Ashland Ave & 21st St,67,76,10,66,0.8,30.0,13.7
Ashland Ave & Armitage Ave,940,2812,568,2244,20.1,35.0,11.5
Ashland Ave & Augusta Blvd,780,1302,423,879,11.1,31.0,14.7
Ashland Ave & Belle Plaine Ave,198,338,105,233,2.9,33.0,9.8
Ashland Ave & Blackhawk St,144,348,169,179,2.6,30.0,15.4
Ashland Ave & Chicago Ave,537,498,205,293,5.5,31.0,16.4
Ashland Ave & Division St,1017,1754,506,1248,14.8,30.0,11.0
Ashland Ave & Grace St,61,183,46,137,1.3,31.0,6.3
Ashland Ave & Grand Ave,191,292,37,255,2.6,36.0,14.8
Ashland Ave & Lake St,370,507,113,394,4.7,34.0,13.6
Ashland Ave & Wellington Ave,906,446,122,324,7.2,33.0,18.4
Ashland Ave & Wrightwood Ave,531,574,173,401,5.9,30.0,12.9
Bissell St & Armitage Ave,470,1128,332,796,8.5,29.0,9.8
Blackstone Ave & Hyde Park Blvd,447,409,74,335,4.6,32.0,12.8
Blue Island Ave & 18th St,445,717,235,482,6.2,29.0,11.5
Broadway & Argyle St,226,222,66,156,2.4,32.5,13.9
Broadway & Barry Ave,593,1004,253,751,8.5,32.0,12.1
Broadway & Belmont Ave,340,600,166,434,5.0,31.0,10.6
Broadway & Berwyn Ave,362,293,80,213,3.5,34.0,22.5
Broadway & Cornelia Ave,508,632,144,488,6.1,29.0,11.0
Broadway & Sheridan Rd,423,383,87,296,4.3,31.0,11.9
Broadway & Wilson Ave,136,360,48,312,2.7,34.0,9.9
California Ave & 21st St,220,61,12,49,1.5,33.0,25.8
California Ave & Division St,494,486,171,315,5.2,29.0,18.8
California Ave & Francis Pl,170,357,99,258,2.8,33.0,15.2
California Ave & Milwaukee Ave,1332,1398,288,1109,14.6,30.0,17.4
