,from_station_name,to_station_name,trips,days,dailytrips,ranks
15,900 W Harrison,Canal St & Jackson Blvd,160,146,1.1,1.0
30,900 W Harrison,Clinton St & Washington Blvd,101,146,0.7,2.0
84,900 W Harrison,May St & Taylor St,83,146,0.6,3.0
111,900 W Harrison,Racine Ave & Congress Pkwy,94,146,0.6,4.0
96,900 W Harrison,Morgan Ave & 14th Pl,68,146,0.5,5.0
165,Aberdeen St & Jackson Blvd,Canal St & Jackson Blvd,208,185,1.1,1.0
208,Aberdeen St & Jackson Blvd,Franklin St & Jackson Blvd,155,185,0.8,2.0
279,Aberdeen St & Jackson Blvd,Peoria St & Jackson Blvd,126,185,0.7,3.0
144,Aberdeen St & Jackson Blvd,Aberdeen St & Jackson Blvd,106,185,0.6,4.0
230,Aberdeen St & Jackson Blvd,Jefferson St & Monroe St,108,185,0.6,5.0
350,Aberdeen St & Madison St,Canal St & Jackson Blvd,417,184,2.3,1.0
372,Aberdeen St & Madison St,Clinton St & Washington Blvd,291,184,1.6,2.0
369,Aberdeen St & Madison St,Clinton St & Madison St,201,184,1.1,3.0
327,Aberdeen St & Madison St,Aberdeen St & Madison St,159,184,0.9,4.0
326,Aberdeen St & Madison St,Aberdeen St & Jackson Blvd,127,184,0.7,5.0
535,Ada St & Washington Blvd,Clinton St & Washington Blvd,102,81,1.3,1.0
566,Ada St & Washington Blvd,Loomis St & Jackson Blvd,47,81,0.6,2.0
524,Ada St & Washington Blvd,Canal St & Jackson Blvd,31,81,0.4,3.0
570,Ada St & Washington Blvd,May St & Randolph St,21,81,0.3,4.0
588,Ada St & Washington Blvd,Sangamon St & Washington Blvd,22,81,0.3,5.0
661,Adler Planetarium,Lake Shore Dr & Monroe St,143,185,0.8,1.0
704,Adler Planetarium,Streeter Dr & Illinois St,128,185,0.7,2.0
610,Adler Planetarium,Adler Planetarium,112,185,0.6,3.0
680,Adler Planetarium,Millennium Park,105,185,0.6,4.0
682,Adler Planetarium,Museum Campus,106,185,0.6,5.0
760,Ashland Ave & 13th St,Racine Ave & 18th St,24,109,0.2,1.0
724,Ashland Ave & 13th St,Clinton St & Roosevelt Rd,6,109,0.1,2.0
740,Ashland Ave & 13th St,Hermitage Ave & Polk St,9,109,0.1,3.0
747,Ashland Ave & 13th St,Loomis St & Taylor St,8,109,0.1,4.0
749,Ashland Ave & 13th St,May St & Taylor St,7,109,0.1,5.0
773,Ashland Ave & 21st St,Ashland Ave & 13th St,7,134,0.1,1.0
778,Ashland Ave & 21st St,Canal St & Jackson Blvd,8,134,0.1,2.0
782,Ashland Ave & 21st St,Cottage Grove Ave & 51st St,7,134,0.1,3.0
806,Ashland Ave & 21st St,Morgan Ave & 14th Pl,17,134,0.1,4.0
774,Ashland Ave & 21st St,Ashland Ave & 21st St,5,134,0.0,5.0
968,Ashland Ave & Armitage Ave,Sheffield Ave & Kingsbury St,249,185,1.3,1.0
967,Ashland Ave & Armitage Ave,Sheffield Ave & Fullerton Ave,198,185,1.1,2.0
881,Ashland Ave & Armitage Ave,Dayton St & North Ave,147,185,0.8,3.0
916,Ashland Ave & Armitage Ave,Larrabee St & Kingsbury St,153,185,0.8,4.0
828,Ashland Ave & Armitage Ave,Ashland Ave & Division St,128,185,0.7,5.0
1064,Ashland Ave & Augusta Blvd,Damen Ave & Pierce Ave,102,185,0.6,1.0
1014,Ashland Ave & Augusta Blvd,Ashland Ave & Augusta Blvd,84,185,0.5,2.0
1017,Ashland Ave & Augusta Blvd,Ashland Ave & Division St,86,185,0.5,3.0
1050,Ashland Ave & Augusta Blvd,Clinton St & Washington Blvd,95,185,0.5,4.0
1125,Ashland Ave & Augusta Blvd,Michigan Ave & Lake St,49,185,0.3,5.0
1265,Ashland Ave & Belle Plaine Ave,Ravenswood Ave & Irving Park Rd,104,126,0.8,1.0
1199,Ashland Ave & Belle Plaine Ave,Ashland Ave & Belle Plaine Ave,20,126,0.2,2.0
1249,Ashland Ave & Belle Plaine Ave,Lincoln Ave & Roscoe St,23,126,0.2,3.0
1280,Ashland Ave & Belle Plaine Ave,Southport Ave & Waveland Ave,24,126,0.2,4.0
1218,Ashland Ave & Belle Plaine Ave,Clark St & Montrose Ave,11,126,0.1,5.0
1310,Ashland Ave & Blackhawk St,Canal St & Adams St,24,94,0.3,1.0
1356,Ashland Ave & Blackhawk St,Larrabee St & Kingsbury St,15,94,0.2,2.0
1387,Ashland Ave & Blackhawk St,Sheffield Ave & Kingsbury St,15,94,0.2,3.0
1398,Ashland Ave & Blackhawk St,State St & Erie St,22,94,0.2,4.0
1294,Ashland Ave & Blackhawk St,Ashland Ave & Armitage Ave,10,94,0.1,5.0
1514,Ashland Ave & Chicago Ave,McClurg Ct & Illinois St,56,185,0.3,1.0
1500,Ashland Ave & Chicago Ave,Lake Shore Dr & Monroe St,37,185,0.2,2.0
1520,Ashland Ave & Chicago Ave,Michigan Ave & Oak St,34,185,0.2,3.0
1521,Ashland Ave & Chicago Ave,Michigan Ave & Pearson St,38,185,0.2,4.0
1524,Ashland Ave & Chicago Ave,Millennium Park,45,185,0.2,5.0
1630,Ashland Ave & Division St,Damen Ave & Division St,321,136,2.4,1.0
1575,Ashland Ave & Division St,Ashland Ave & Armitage Ave,103,136,0.8,2.0
1635,Ashland Ave & Division St,Damen Ave & Pierce Ave,108,136,0.8,3.0
1592,Ashland Ave & Division St,California Ave & Division St,99,136,0.7,4.0
